# Time	Cd	Cl	Cm
0.527	2.40694	-0.00014584	1.02896e-05
0.528	2.40587	-0.000138586	1.09312e-05
0.529	2.40479	-0.000217046	3.99561e-06
0.53	2.40368	-0.000151585	9.82107e-06
0.531	2.40259	-0.000155883	9.5789e-06
0.532	2.40149	-0.000145152	1.01177e-05
0.533	2.40041	-0.000134001	1.05945e-05
0.534	2.39932	-0.000148021	8.64671e-06
0.535	2.39822	-0.00014555	1.08657e-05
0.536	2.39716	-0.000183634	8.58741e-06
0.537	2.39607	-0.000105187	1.41049e-05
0.538	2.39502	-0.000174418	8.91639e-06
0.539	2.39394	-0.000159345	9.83579e-06
0.54	2.39288	-0.000149215	1.05656e-05
0.541	2.39182	-0.000144734	1.08119e-05
0.542	2.39076	-0.000164249	8.92861e-06
0.543	2.38969	-0.000220389	6.35976e-06
0.544	2.38862	-1.31154e-05	1.96379e-05
0.545	2.38761	-0.000191506	6.83198e-06
0.546	2.38656	-0.000179311	7.68907e-06
0.547	2.38551	-0.000171857	7.94861e-06
0.548	2.38447	-0.00017015	8.39281e-06
0.549	2.38345	-0.000167351	8.43343e-06
0.55	2.38242	-0.000165741	8.58337e-06
0.551	2.3814	-0.000163631	8.61281e-06
0.552	2.38038	-0.000161999	8.66523e-06
0.553	2.37937	-0.000162061	8.75774e-06
0.554	2.37836	-0.00015956	8.90894e-06
0.555	2.37735	-0.000155233	9.06236e-06
0.556	2.37635	-0.000155056	9.74752e-06
0.557	2.37536	-0.000149547	9.71008e-06
0.558	2.37433	-0.00023718	1.26457e-06
0.559	2.37334	-0.000164192	8.35608e-06
0.56	2.37235	-0.000165282	8.2696e-06
0.561	2.37137	-0.000163194	8.44675e-06
0.562	2.37039	-0.000181208	6.69048e-06
0.563	2.3694	-0.000164783	8.33095e-06
0.564	2.36847	-0.000145598	1.01348e-05
0.565	2.36748	-0.00016849	7.89944e-06
0.566	2.36653	-0.000160725	8.60662e-06
0.567	2.36557	-0.000165274	8.19741e-06
0.568	2.36463	-7.91263e-05	1.56475e-05
0.569	2.36371	-0.000150962	9.30744e-06
0.57	2.36277	-0.000162634	8.21789e-06
0.571	2.36183	-0.000162503	8.20985e-06
0.572	2.3609	-0.000162269	8.20543e-06
0.573	2.35997	-0.00016216	8.20783e-06
0.574	2.35904	-0.00016238	8.20469e-06
